Type,From,To,Exists,Field/LinkText,Details
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-late-merge-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","related_documents","Array[2]"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","traffic coordination","Position: 12466"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","Health Protocol","Position: 4876"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","Climate Protocol","Position: 4784"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-late-merge-paper.md","false","Late Merge Problem","Position: 4693"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","climate action","Position: 3084"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-late-merge-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","The Evolution of Social Compassion","Position: 10560"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","The Climate Action Decision Protocol","Position: 10402"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","The Climate Action Decision Protocol","Position: 4050"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-late-merge-paper.md","false","The Late Merge Problem","Position: 3924"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence mechanisms","Position: 43482"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-game-theory-ethics.md","false","institutional capture dynamics","Position: 43360"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence paper","Position: 42832"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed reality systems","Position: 3475"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","cross_synthesis_with","Array[0]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","cross_synthesis_with","Array[1]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","cross_synthesis_with","Array[2]"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed_reality_paper.md","Position: 6939"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed_reality_paper.md","Position: 6195"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","superfluid_fusion_proposal.md","Position: 4229"
"frontmatter","_posts/social/2025-07-03-hiring.md","../human/2025-07-01-mindseye-technical-report.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-ai-bias-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","related_documents","Array[2]"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","Marco Polo Protocol","Position: 43952"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","AI Bias in Intelligence Assessment","Position: 43778"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-ai-bias-paper.md","false","MindsEye Technical Report","Position: 43688"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","consciousness detection","Position: 43160"
"markdown","_posts/social/2025-07-03-hiring.md","../human/2025-07-01-mindseye-technical-report.md","false","algorithmic burial phenomenon","Position: 7608"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-ai-bias-paper.md","false","intelligence assessment","Position: 2816"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-social-truth-proposal.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","related_documents","Array[3]"
