Type,From,To,Exists,Field/LinkText,Details
"frontmatter","_posts/social/2025-07-11-temporal-social-dynamics.md","path/to/distributed-systems-theory.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-11-temporal-social-dynamics.md","path/to/cognitive-architectures.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-11-temporal-social-dynamics.md","path/to/network-dynamics.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-late-merge-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","related_documents","Array[2]"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","traffic coordination","Position: 12466"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","./2025-07-07-public-health-protocol.md","false","Health Protocol","Position: 4876"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","Climate Protocol","Position: 4784"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-late-merge-paper.md","false","Late Merge Problem","Position: 4693"
"markdown","_posts/social/2025-07-07-social-compassion-game-theory.md","../projects/2025-07-03-climate-protocol.md","false","climate action","Position: 3084"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-late-merge-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","./2025-07-07-social-compassion-game-theory.md","false","The Evolution of Social Compassion","Position: 10560"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","The Climate Action Decision Protocol","Position: 10402"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-climate-protocol.md","false","The Climate Action Decision Protocol","Position: 4050"
"markdown","_posts/social/2025-07-07-public-health-protocol.md","../projects/2025-07-03-late-merge-paper.md","false","The Late Merge Problem","Position: 3924"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[3]"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence mechanisms","Position: 43482"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-game-theory-ethics.md","false","institutional capture dynamics","Position: 43360"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence paper","Position: 42832"
"markdown","_posts/social/2025-07-03-social-truth-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed reality systems","Position: 3475"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","cross_synthesis_with","Array[0]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","cross_synthesis_with","Array[1]"
"frontmatter","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","cross_synthesis_with","Array[2]"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed_reality_paper.md","Position: 6939"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","./2025-06-30-managed-reality-paper.md","false","managed_reality_paper.md","Position: 6195"
"markdown","_posts/social/2025-07-03-post-scarcity-proposal.md","../scifi/2025-06-29-superfluid-fusion-proposal.md","false","superfluid_fusion_proposal.md","Position: 4229"
"frontmatter","_posts/social/2025-07-03-hiring.md","../human/2025-07-01-mindseye-technical-report.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-ai-bias-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","related_documents","Array[2]"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","Marco Polo Protocol","Position: 43853"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","AI Bias in Intelligence Assessment","Position: 43679"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-ai-bias-paper.md","false","MindsEye Technical Report","Position: 43589"
"markdown","_posts/social/2025-07-03-hiring.md","../consciousness/2025-07-06-marco-polo-protocol.md","false","consciousness detection","Position: 43061"
"markdown","_posts/social/2025-07-03-hiring.md","../human/2025-07-01-mindseye-technical-report.md","false","algorithmic burial phenomenon","Position: 7509"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-social-truth-proposal.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","related_documents","Array[3]"
"frontmatter","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-hiring.md","false","related_documents","Array[4]"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 20723"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 20645"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 20568"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 20437"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 20108"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","cognitive_effort_paper.md","Position: 19951"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 19734"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 19613"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-managed-reality-paper.md","false","information environment management","Position: 19100"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-managed-reality-paper.md","false","information environment management","Position: 18979"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","individual cognitive effort decisions","Position: 18856"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","individual cognitive effort decisions","Position: 18753"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","individual cognition paper","Position: 10345"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","individual cognition paper","Position: 10242"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-hiring.md","false","Sincerity and Curiosity","Position: 6827"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-hiring.md","false","Sincerity and Curiosity","Position: 6747"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","AI Bias Paper","Position: 6619"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","../consciousness/2025-07-06-ai-bias-paper.md","false","AI Bias Paper","Position: 6507"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","institutional collapse analysis","Position: 6388"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-social-truth-proposal.md","false","social epistemology framework","Position: 4082"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-07-03-cognitive-effort-paper.md","false","individual cognitive effort allocation","Position: 3871"
"markdown","_posts/social/2025-07-03-conversation-intelligence-paper.md","./2025-06-30-game-theory-ethics.md","false","institutional dynamics","Position: 2519"
"frontmatter","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-06-30-game-theory-ethics.md","false","related_documents","Array[0]"
"frontmatter","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","related_documents","Array[1]"
"frontmatter","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-07-03-social-truth-proposal.md","false","related_documents","Array[2]"
"frontmatter","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-06-30-managed-reality-paper.md","false","related_documents","Array[3]"
"frontmatter","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-06-30-institutional-decay-analysis.md","false","related_documents","Array[4]"
"markdown","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-06-30-game-theory-ethics.md","false","game_theory_ethics.md","Position: 11691"
"markdown","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 11507"
"markdown","_posts/social/2025-07-03-cognitive-effort-paper.md","./2025-07-03-conversation-intelligence-paper.md","false","conversational intelligence framework","Position: 5919"
